frequency,raw
20.00,1.92
20.20,1.89
20.40,1.86
20.61,1.83
20.81,1.80
21.02,1.78
21.23,1.75
21.44,1.72
21.66,1.70
21.87,1.68
22.09,1.65
22.31,1.63
22.54,1.61
22.76,1.60
22.99,1.58
23.22,1.56
23.45,1.55
23.69,1.53
23.92,1.52
24.16,1.50
24.40,1.49
24.65,1.47
24.89,1.46
25.14,1.44
25.39,1.43
25.65,1.41
25.91,1.40
26.16,1.38
26.43,1.37
26.69,1.36
26.96,1.34
27.23,1.33
27.50,1.32
27.77,1.31
28.05,1.29
28.33,1.28
28.62,1.27
28.90,1.26
29.19,1.25
29.48,1.23
29.78,1.22
30.08,1.21
30.38,1.20
30.68,1.19
30.99,1.18
31.30,1.17
31.61,1.16
31.93,1.15
32.24,1.13
32.57,1.12
32.89,1.11
33.22,1.10
33.55,1.09
33.89,1.07
34.23,1.06
34.57,1.05
34.92,1.03
35.27,1.02
35.62,1.01
35.97,0.99
36.33,0.98
36.70,0.97
37.06,0.96
37.43,0.95
37.81,0.94
38.19,0.93
38.57,0.92
38.95,0.91
39.34,0.89
39.74,0.88
40.14,0.88
40.54,0.87
40.94,0.86
41.35,0.86
41.76,0.85
42.18,0.85
42.60,0.84
43.03,0.84
43.46,0.83
43.90,0.83
44.33,0.83
44.78,0.82
45.23,0.82
45.68,0.81
46.13,0.81
46.60,0.80
47.06,0.79
47.53,0.79
48.01,0.78
48.49,0.77
48.97,0.76
49.46,0.76
49.96,0.75
50.46,0.75
50.96,0.74
51.47,0.74
51.99,0.73
52.51,0.72
53.03,0.72
53.56,0.71
54.10,0.70
54.64,0.70
55.18,0.69
55.74,0.69
56.29,0.68
56.86,0.68
57.42,0.68
58.00,0.67
58.58,0.67
59.16,0.67
59.76,0.66
60.35,0.66
60.96,0.66
61.57,0.65
62.18,0.65
62.80,0.64
63.43,0.64
64.07,0.63
64.71,0.62
65.35,0.61
66.01,0.61
66.67,0.60
67.33,0.59
68.01,0.59
68.69,0.58
69.37,0.57
70.07,0.57
70.77,0.56
71.48,0.56
72.19,0.56
72.91,0.55
73.64,0.55
74.38,0.55
75.12,0.55
75.87,0.54
76.63,0.54
77.40,0.54
78.17,0.53
78.95,0.53
79.74,0.52
80.54,0.52
81.35,0.51
82.16,0.51
82.98,0.50
83.81,0.50
84.65,0.50
85.50,0.50
86.35,0.49
87.22,0.49
88.09,0.49
88.97,0.48
89.86,0.48
90.76,0.47
91.66,0.47
92.58,0.47
93.51,0.46
94.44,0.46
95.39,0.46
96.34,0.45
97.30,0.44
98.28,0.43
99.26,0.42
100.25,0.42
101.25,0.41
102.27,0.41
103.29,0.40
104.32,0.40
105.37,0.39
106.42,0.39
107.48,0.39
108.56,0.38
109.64,0.38
110.74,0.37
111.85,0.37
112.97,0.36
114.10,0.36
115.24,0.36
116.39,0.36
117.55,0.35
118.73,0.35
119.92,0.35
121.12,0.34
122.33,0.34
123.55,0.33
124.79,0.33
126.03,0.32
127.29,0.32
128.57,0.31
129.85,0.31
131.15,0.30
132.46,0.29
133.79,0.28
135.12,0.28
136.48,0.27
137.84,0.26
139.22,0.26
140.61,0.25
142.02,0.25
143.44,0.24
144.87,0.24
146.32,0.23
147.78,0.23
149.26,0.23
150.75,0.22
152.26,0.22
153.78,0.21
155.32,0.21
156.88,0.20
158.44,0.20
160.03,0.19
161.63,0.19
163.24,0.18
164.88,0.18
166.53,0.17
168.19,0.17
169.87,0.16
171.57,0.16
173.29,0.15
175.02,0.15
176.77,0.14
178.54,0.14
180.32,0.13
182.13,0.13
183.95,0.12
185.79,0.11
187.65,0.11
189.52,0.10
191.42,0.09
193.33,0.08
195.27,0.08
197.22,0.07
199.19,0.07
201.18,0.06
203.19,0.06
205.23,0.05
207.28,0.05
209.35,0.04
211.44,0.04
213.56,0.04
215.69,0.03
217.85,0.03
220.03,0.03
222.23,0.03
224.45,0.02
226.70,0.02
228.96,0.02
231.25,0.01
233.57,0.01
235.90,0.00
238.26,0.00
240.64,-0.00
243.05,-0.01
245.48,-0.01
247.93,-0.01
250.41,-0.01
252.92,-0.01
255.45,-0.02
258.00,-0.02
260.58,-0.02
263.19,-0.03
265.82,-0.03
268.48,-0.03
271.16,-0.04
273.87,-0.04
276.61,-0.04
279.38,-0.04
282.17,-0.04
284.99,-0.05
287.84,-0.05
290.72,-0.05
293.63,-0.06
296.57,-0.06
299.53,-0.06
302.53,-0.07
305.55,-0.07
308.61,-0.07
311.69,-0.07
314.81,-0.08
317.96,-0.08
321.14,-0.08
324.35,-0.09
327.59,-0.09
330.87,-0.09
334.18,-0.09
337.52,-0.09
340.90,-0.10
344.30,-0.10
347.75,-0.10
351.23,-0.10
354.74,-0.10
358.28,-0.11
361.87,-0.11
365.49,-0.11
369.14,-0.11
372.83,-0.12
376.56,-0.12
380.33,-0.12
384.13,-0.12
387.97,-0.13
391.85,-0.13
395.77,-0.13
399.73,-0.13
403.72,-0.13
407.76,-0.14
411.84,-0.14
415.96,-0.14
420.12,-0.14
424.32,-0.14
428.56,-0.15
432.85,-0.15
437.18,-0.15
441.55,-0.15
445.96,-0.15
450.42,-0.16
454.93,-0.16
459.48,-0.16
464.07,-0.16
468.71,-0.16
473.40,-0.16
478.13,-0.17
482.91,-0.17
487.74,-0.17
492.62,-0.17
497.55,-0.17
502.52,-0.17
507.55,-0.17
512.62,-0.18
517.75,-0.18
522.93,-0.18
528.16,-0.18
533.44,-0.18
538.77,-0.18
544.16,-0.18
549.60,-0.19
555.10,-0.19
560.65,-0.19
566.25,-0.19
571.92,-0.19
577.64,-0.19
583.41,-0.19
589.25,-0.19
595.14,-0.19
601.09,-0.19
607.10,-0.19
613.17,-0.19
619.30,-0.19
625.50,-0.19
631.75,-0.19
638.07,-0.18
644.45,-0.18
650.89,-0.18
657.40,-0.18
663.98,-0.18
670.62,-0.17
677.32,-0.17
684.10,-0.17
690.94,-0.17
697.85,-0.16
704.83,-0.16
711.87,-0.16
718.99,-0.15
726.18,-0.15
733.44,-0.14
740.78,-0.13
748.19,-0.13
755.67,-0.12
763.23,-0.12
770.86,-0.11
778.57,-0.11
786.35,-0.10
794.22,-0.09
802.16,-0.09
810.18,-0.09
818.28,-0.08
826.46,-0.08
834.73,-0.07
843.08,-0.06
851.51,-0.06
860.02,-0.05
868.62,-0.04
877.31,-0.03
886.08,-0.02
894.94,-0.01
903.89,-0.00
912.93,0.01
922.06,0.02
931.28,0.03
940.59,0.04
950.00,0.04
959.50,0.05
969.09,0.06
978.78,0.07
988.57,0.07
998.46,0.07
1008.44,0.06
1018.53,0.06
1028.71,0.05
1039.00,0.04
1049.39,0.04
1059.88,0.03
1070.48,0.02
1081.19,0.01
1092.00,-0.01
1102.92,-0.02
1113.95,-0.05
1125.09,-0.07
1136.34,-0.10
1147.70,-0.13
1159.18,-0.15
1170.77,-0.18
1182.48,-0.20
1194.30,-0.22
1206.25,-0.25
1218.31,-0.28
1230.49,-0.31
1242.80,-0.34
1255.22,-0.38
1267.78,-0.41
1280.45,-0.44
1293.26,-0.46
1306.19,-0.49
1319.25,-0.50
1332.45,-0.52
1345.77,-0.54
1359.23,-0.56
1372.82,-0.57
1386.55,-0.59
1400.41,-0.61
1414.42,-0.63
1428.56,-0.64
1442.85,-0.65
1457.28,-0.65
1471.85,-0.66
1486.57,-0.66
1501.43,-0.66
1516.45,-0.66
1531.61,-0.66
1546.93,-0.66
1562.40,-0.67
1578.02,-0.67
1593.80,-0.67
1609.74,-0.67
1625.84,-0.67
1642.10,-0.66
1658.52,-0.66
1675.10,-0.66
1691.85,-0.65
1708.77,-0.66
1725.86,-0.66
1743.12,-0.67
1760.55,-0.68
1778.15,-0.69
1795.94,-0.69
1813.90,-0.70
1832.03,-0.71
1850.36,-0.71
1868.86,-0.72
1887.55,-0.74
1906.42,-0.75
1925.49,-0.76
1944.74,-0.78
1964.19,-0.79
1983.83,-0.81
2003.67,-0.83
2023.71,-0.84
2043.94,-0.85
2064.38,-0.86
2085.03,-0.88
2105.88,-0.89
2126.94,-0.90
2148.20,-0.92
2169.69,-0.93
2191.38,-0.95
2213.30,-0.96
2235.43,-0.97
2257.78,-0.99
2280.36,-1.00
2303.17,-1.02
2326.20,-1.03
2349.46,-1.05
2372.95,-1.06
2396.68,-1.07
2420.65,-1.08
2444.86,-1.10
2469.31,-1.11
2494.00,-1.12
2518.94,-1.13
2544.13,-1.13
2569.57,-1.14
2595.27,-1.14
2621.22,-1.14
2647.43,-1.14
2673.90,-1.14
2700.64,-1.14
2727.65,-1.13
2754.93,-1.13
2782.48,-1.12
2810.30,-1.12
2838.40,-1.11
2866.79,-1.09
2895.46,-1.08
2924.41,-1.07
2953.65,-1.05
2983.19,-1.03
3013.02,-1.01
3043.15,-0.99
3073.58,-0.97
3104.32,-0.95
3135.36,-0.93
3166.72,-0.90
3198.38,-0.88
3230.37,-0.85
3262.67,-0.82
3295.30,-0.80
3328.25,-0.77
3361.53,-0.74
3395.15,-0.71
3429.10,-0.67
3463.39,-0.63
3498.03,-0.59
3533.01,-0.54
3568.34,-0.48
3604.02,-0.41
3640.06,-0.34
3676.46,-0.27
3713.22,-0.19
3750.36,-0.11
3787.86,-0.02
3825.74,0.06
3864.00,0.14
3902.64,0.22
3941.66,0.29
3981.08,0.36
4020.89,0.42
4061.10,0.48
4101.71,0.53
4142.73,0.57
4184.15,0.60
4226.00,0.63
4268.26,0.66
4310.94,0.67
4354.05,0.68
4397.59,0.69
4441.56,0.69
4485.98,0.69
4530.84,0.69
4576.15,0.70
4621.91,0.70
4668.13,0.70
4714.81,0.70
4761.96,0.70
4809.58,0.69
4857.67,0.69
4906.25,0.67
4955.31,0.66
5004.87,0.65
5054.91,0.64
5105.46,0.63
5156.52,0.62
5208.08,0.61
5260.16,0.61
5312.77,0.60
5365.89,0.59
5419.55,0.58
5473.75,0.57
5528.49,0.57
5583.77,0.57
5639.61,0.58
5696.00,0.59
5752.96,0.61
5810.49,0.62
5868.60,0.63
5927.28,0.64
5986.56,0.66
6046.42,0.66
6106.89,0.67
6167.96,0.68
6229.64,0.69
6291.93,0.70
6354.85,0.70
6418.40,0.70
6482.58,0.70
6547.41,0.69
6612.88,0.68
6679.01,0.65
6745.80,0.63
6813.26,0.60
6881.39,0.57
6950.21,0.54
7019.71,0.51
7089.91,0.46
7160.81,0.40
7232.41,0.32
7304.74,0.23
7377.79,0.14
7451.56,0.03
7526.08,-0.10
7601.34,-0.20
7677.35,-0.28
7754.13,-0.32
7831.67,-0.31
7909.98,-0.26
7989.08,-0.15
8068.98,-0.01
8149.67,0.19
8231.16,0.41
8313.47,0.67
8396.61,0.95
8480.57,1.25
8565.38,1.55
8651.03,1.85
8737.54,2.13
8824.92,2.38
8913.17,2.60
9002.30,2.79
9092.32,2.94
9183.25,3.06
9275.08,3.12
9367.83,3.17
9461.51,3.24
9556.12,3.30
9651.68,3.38
9748.20,3.46
9845.68,3.55
9944.14,3.65
10043.58,3.76
10144.02,3.87
10245.46,4.00
10347.91,4.13
10451.39,4.28
10555.91,4.42
10661.46,4.58
10768.08,4.75
10875.76,4.93
10984.52,5.12
11094.36,5.33
11205.31,5.55
11317.36,5.76
11430.53,5.96
11544.84,6.12
11660.29,6.26
11776.89,6.36
11894.66,6.39
12013.60,6.36
12133.74,6.26
12255.08,6.09
12377.63,5.85
12501.41,5.55
12626.42,5.19
12752.68,4.79
12880.21,4.34
13009.01,3.85
13139.10,3.35
13270.49,2.85
13403.20,2.36
13537.23,1.88
13672.60,1.43
13809.33,1.01
13947.42,0.64
14086.90,0.30
14227.77,-0.00
14370.04,-0.26
14513.74,-0.48
14658.88,-0.67
14805.47,-0.82
14953.52,-0.92
15103.06,-0.99
15254.09,-1.03
15406.63,-1.05
15560.70,-1.06
15716.30,-1.08
15873.47,-1.10
16032.20,-1.14
16192.52,-1.19
16354.45,-1.26
16517.99,-1.34
16683.17,-1.45
16850.01,-1.58
17018.51,-1.74
17188.69,-1.94
17360.58,-2.18
17534.18,-2.46
17709.53,-2.75
17886.62,-3.06
18065.49,-3.33
18246.14,-3.61
18428.60,-3.90
18612.89,-4.21
18799.02,-4.52
18987.01,-4.85
19176.88,-5.18
19368.65,-5.53
19562.33,-5.88
19757.96,-6.25
19955.54,-6.62
